episode,timestep,reward
52,2500,-25.6192
105,5000,-24.7038
178,7500,-23.6233
238,10000,-24.5167
302,12500,-24.0781
381,15000,-23.2759
450,17500,-23.029
536,20000,-22.9965
590,22500,-24.15
654,25000,-23.6828
729,27500,-23.1973
790,30000,-23.9557
862,32500,-23.1889
917,35000,-23.9873
980,37500,-23.2206
1049,40000,-23.442
1113,42500,-22.9953
1174,45000,-22.6574
1243,47500,-22.9783
1304,50000,-23.1262
1365,52500,-23.4623
1415,55000,-24.49
1480,57500,-23.0154
1544,60000,-23.5406
1618,62500,-22.9811
1683,65000,-21.8677
1747,67500,-23.8875
1828,70000,-22.7679
1891,72500,-22.4714
1971,75000,-21.91
2030,77500,-22.6814
2088,80000,-22.9069
2146,82500,-21.819
2200,85000,-23.4778
2265,87500,-22.7415
2322,90000,-21.993
2384,92500,-21.4726
2436,95000,-21.45
2508,97500,-21.6681
2571,100000,-21.2524
2657,102500,-20.9895
2714,105000,-22.1298
2785,107500,-21.1296
2858,110000,-20.7466
2927,112500,-20.6449
2990,115000,-20.6381
3068,117500,-19.5295
3135,120000,-20.0761
3204,122500,-19.1928
3270,125000,-20.1773
3342,127500,-20.0653
3416,130000,-20.377
3473,132500,-20.1018
3539,135000,-19.8424
3603,137500,-19.2813
3673,140000,-19.5414
3743,142500,-20.0514
3799,145000,-20.1857
3872,147500,-19.2452
3930,150000,-20.2741
3988,152500,-19.5569
4042,155000,-20.1759
4113,157500,-19.1535
4171,160000,-20.1534
4219,162500,-20.4937
4273,165000,-20.5574
4320,167500,-20.3064
4381,170000,-19.2115
4426,172500,-19.5067
4485,175000,-19.1559
4543,177500,-19.2276
4609,180000,-19.2576
4661,182500,-20.6558
4735,185000,-18.077
4812,187500,-18.6649
4875,190000,-19.3587
4954,192500,-18.7772
5011,195000,-18.6368
5060,197500,-19.6327
5112,200000,-19.7115
5168,202500,-19.275
5228,205000,-18.47
5280,207500,-19.1885
5333,210000,-19.2811
5397,212500,-18.3141
5457,215000,-18.825
5508,217500,-19.4314
5553,220000,-19.5467
5599,222500,-20.2652
5651,225000,-20.15
5687,227500,-21.8222
5733,230000,-20.637
5781,232500,-19.6167
5823,235000,-20.1976
5870,237500,-20.283
5914,240000,-20.7227
5950,242500,-20.3583
5998,245000,-19.5333
6046,247500,-20.5583
6093,250000,-19.7043
6137,252500,-20.5841
6177,255000,-20.7375
6218,257500,-20.8512
6255,260000,-20.4135
6302,262500,-19.2191
6344,265000,-20.8762
6392,267500,-19.7312
6434,270000,-20.6357
6477,272500,-20.4512
6523,275000,-20.0522
6576,277500,-20.7396
6617,280000,-20.761
6664,282500,-19.9766
6703,285000,-21.2923
6757,287500,-18.9981
6795,290000,-20.1
6831,292500,-21.0889
6859,295000,-20.6321
6904,297500,-19.5933
6946,300000,-20.5167
6985,302500,-20.6103
7020,305000,-20.8143
7065,307500,-19.8222
7101,310000,-20.825
7138,312500,-20.2432
7178,315000,-20.5175
7214,317500,-20.8833
7249,320000,-21.3914
7280,322500,-22.8065
7311,325000,-22.529
7349,327500,-19.8237
7387,330000,-21.1605
7417,332500,-21.5933
7451,335000,-21.0176
7479,337500,-23.9857
7519,340000,-19.9425
7559,342500,-20.3275
7584,345000,-21.484
7622,347500,-21.2105
7660,350000,-20.4053
7698,352500,-20.5579
7733,355000,-22.0314
7765,357500,-22.3438
7802,360000,-20.1514
7833,362500,-21.3484
7868,365000,-21.5914
7896,367500,-23.175
7936,370000,-20.665
7967,372500,-22.1516
7998,375000,-22.229
8035,377500,-19.8811
8066,380000,-22.4839
8096,382500,-22.8233
8125,385000,-21.8793
8162,387500,-20.1459
8191,390000,-22.2379
8217,392500,-21.6769
8244,395000,-22.6556
8266,397500,-24.0045
8290,400000,-24.3833
8316,402500,-22.5192
8356,405000,-19.46
8382,407500,-23.7846
8415,410000,-20.6667
8441,412500,-23.7577
8464,415000,-24.6783
8491,417500,-21.2222
8522,420000,-20.9065
8544,422500,-25.2545
8568,425000,-24.8375
8591,427500,-25.2261
8618,430000,-23.0889
8643,432500,-23.676
8663,435000,-27.64
8683,437500,-25.13
8705,440000,-26.8818
8736,442500,-20.0258
8753,445000,-28.2118
8779,447500,-23.7923
8805,450000,-23.1038
8824,452500,-24.6053
8851,455000,-24.6111
8872,457500,-22.819
8894,460000,-23.3273
8912,462500,-22.0833
8938,465000,-21.15
8958,467500,-25.01
8982,470000,-25.7458
9009,472500,-22.4259
9031,475000,-23.1136
9051,477500,-23.66
9071,480000,-25.155
9087,482500,-25.2125
9112,485000,-22.7
9135,487500,-23.1174
9158,490000,-24.7522
9177,492500,-23.9895
9195,495000,-25.8889
9219,497500,-21.7
9234,500000,-28.5533
9247,502500,-28.6308
9266,505000,-25.2421
9281,507500,-27.8867
9302,510000,-25.7429
9319,512500,-25.5706
9331,515000,-27.9417
9348,517500,-25.9824
9363,520000,-25.5667
9379,522500,-26.375
9395,525000,-25.925
9415,527500,-23.385
9428,530000,-30.6846
9445,532500,-24.6353
9458,535000,-26.1231
9473,537500,-28.68
9494,540000,-22.1524
