episode,timestep,reward
11,2500,-50.8636
22,5000,-51.2864
34,7500,-39.575
46,10000,-46.7458
56,12500,-48.87
68,15000,-50.8542
79,17500,-51.7909
90,20000,-49.2773
101,22500,-45.9273
113,25000,-49.3083
124,27500,-50.3
135,30000,-48.8136
146,32500,-51.7091
158,35000,-47.6292
168,37500,-52.22
180,40000,-40.2417
192,42500,-45.2292
202,45000,-46.12
214,47500,-45.4208
226,50000,-44.2542
238,52500,-41.9625
249,55000,-46.9318
260,57500,-46.4045
272,60000,-45.0208
284,62500,-46.3042
295,65000,-44.7727
307,67500,-47.0167
319,70000,-40.4583
330,72500,-41.0636
342,75000,-42.2333
354,77500,-42.9667
365,80000,-50.65
378,82500,-38.3346
389,85000,-51.5182
400,87500,-46.0727
412,90000,-44.1042
423,92500,-43.1364
436,95000,-43.7846
447,97500,-43.3182
459,100000,-40.6667
471,102500,-41.8667
484,105000,-40.65
496,107500,-38.5667
507,110000,-50.8
518,112500,-48.1591
530,115000,-42.275
543,117500,-36.9962
555,120000,-42.8375
566,122500,-47.9
578,125000,-39.1833
592,127500,-32.8464
606,130000,-32.15
618,132500,-36.9792
630,135000,-42.8792
641,137500,-41.9818
652,140000,-47.8273
665,142500,-40.3385
679,145000,-29.9357
692,147500,-33.3154
704,150000,-36.3458
718,152500,-30.7821
730,155000,-38.2125
743,157500,-37.8385
756,160000,-33.8692
769,162500,-36.4615
783,165000,-30.8036
796,167500,-38.4615
810,170000,-29.9571
