episode,timestep,reward
22,2500,-25.8636
43,5000,-26.8952
72,7500,-22.9966
89,10000,-25.6176
110,12500,-25.2714
129,15000,-25.2684
153,17500,-25.125
175,20000,-23.0182
198,22500,-22.2609
221,25000,-24.5957
246,27500,-24.068
270,30000,-22.5167
297,32500,-23.5037
327,35000,-21.66
350,37500,-23.0261
377,40000,-20.3926
399,42500,-24.6091
424,45000,-22.432
443,47500,-23.2947
475,50000,-22.5906
506,52500,-21.2806
527,55000,-23.9429
547,57500,-21.355
568,60000,-22.8143
599,62500,-18.6645
626,65000,-19.237
664,67500,-17.8763
700,70000,-19.2694
730,72500,-20.1167
770,75000,-14.3875
804,77500,-11.4206
836,80000,-14.2812
876,82500,-11.76
917,85000,-10.2171
958,87500,-10.9488
1000,90000,-11.8262
1045,92500,-11.0756
1085,95000,-11.01
1134,97500,-8.898
1177,100000,-8.7674
1223,102500,-8.7913
1274,105000,-7.9157
1321,107500,-10.2213
1381,110000,-6.9433
1444,112500,-6.2635
1502,115000,-4.3448
1572,117500,-5.5143
1635,120000,-4.3333
1705,122500,-5.1957
1772,125000,-4.3343
1843,127500,-3.5507
1914,130000,-4.2493
1987,132500,-3.5329
2057,135000,-3.1729
2132,137500,-2.8547
2210,140000,-3.0641
2285,142500,-3.0147
2360,145000,-1.888
2432,147500,-3.2319
2506,150000,-2.5608
2584,152500,-2.8064
2657,155000,-2.4288
2741,157500,-3.8631
2816,160000,-2.5293
2896,162500,-3.215
2971,165000,-2.1707
3053,167500,-2.4366
3137,170000,-3.2786
3210,172500,-2.7164
3286,175000,-2.1092
3368,177500,-2.3695
3444,180000,-3.0934
3518,182500,-2.7216
3598,185000,-2.795
3680,187500,-3.0171
3764,190000,-3.3512
3844,192500,-3.075
3917,195000,-2.7466
4000,197500,-1.8542
4074,200000,-2.2743
4155,202500,-3.3123
4235,205000,-3.775
4314,207500,-3.0544
4393,210000,-3.6405
4471,212500,-3.8885
4548,215000,-3.113
4626,217500,-1.8756
4704,220000,-2.5282
4786,222500,-2.7195
4857,225000,-3.0634
4932,227500,-3.3027
5007,230000,-2.0893
5081,232500,-2.8878
5167,235000,-3.1663
5246,237500,-3.1025
5323,240000,-1.8039
5402,242500,-2.8684
5483,245000,-2.5099
5562,247500,-2.8684
5643,250000,-1.9494
5733,252500,-2.7333
5814,255000,-2.3111
5895,257500,-2.2432
5983,260000,-3.0966
6069,262500,-3.3523
6152,265000,-2.606
6235,267500,-3.0301
6316,270000,-1.5914
6401,272500,-2.8365
6484,275000,-3.4482
6564,277500,-2.9575
6646,280000,-1.8122
6727,282500,-2.6358
6812,285000,-2.7941
6888,287500,-3.0118
6972,290000,-2.2976
7047,292500,-1.836
7122,295000,-2.068
7203,297500,-1.6543
7288,300000,-3.6576
7370,302500,-2.8
7451,305000,-2.8642
7536,307500,-2.4129
7619,310000,-2.9133
7703,312500,-2.7393
