episode,timestep,reward
12,2500,-40.0
24,5000,-40.0
37,7500,-40.0
49,10000,-40.0
62,12500,-40.0
74,15000,-40.0
87,17500,-40.0
99,20000,-40.0
112,22500,-40.0
124,25000,-40.0
137,27500,-40.0
149,30000,-40.0
162,32500,-40.0
174,35000,-40.0
187,37500,-40.0
199,40000,-40.0
212,42500,-40.0
224,45000,-40.0
237,47500,-40.0
249,50000,-40.0
262,52500,-40.0
274,55000,-40.0
287,57500,-40.0
299,60000,-40.0
312,62500,-40.0
324,65000,-40.0
337,67500,-40.0
349,70000,-40.0
362,72500,-40.0
374,75000,-40.0
387,77500,-40.0
399,80000,-40.0
412,82500,-40.0
424,85000,-40.0
437,87500,-40.0
449,90000,-40.0
462,92500,-40.0
474,95000,-40.0
487,97500,-40.0
499,100000,-40.0
512,102500,-40.0
524,105000,-40.0
537,107500,-40.0
549,110000,-40.0
562,112500,-40.0
574,115000,-40.0
587,117500,-40.0
599,120000,-40.0
612,122500,-40.0
624,125000,-40.0
637,127500,-40.0
649,130000,-40.0
662,132500,-40.0
674,135000,-40.0
687,137500,-40.0
699,140000,-40.0
712,142500,-40.0
724,145000,-40.0
737,147500,-40.0
749,150000,-40.0
762,152500,-40.0
774,155000,-40.0
787,157500,-40.0
799,160000,-40.0
812,162500,-40.0
824,165000,-40.0
837,167500,-40.0
849,170000,-40.0
862,172500,-40.0
874,175000,-40.0
887,177500,-40.0
899,180000,-40.0
912,182500,-40.0
924,185000,-40.0
937,187500,-40.0
949,190000,-40.0
962,192500,-40.0
974,195000,-40.0
987,197500,-40.0
999,200000,-40.0
1012,202500,-40.0
1024,205000,-40.0
1037,207500,-40.0
1049,210000,-40.0
1062,212500,-40.0
