episode,timestep,reward
60,2500,-26.1833
135,5000,-25.114
196,7500,-25.9959
270,10000,-25.0642
327,12500,-26.264
408,15000,-24.7377
478,17500,-25.3093
539,20000,-25.9
622,22500,-24.5199
681,25000,-26.3373
752,27500,-24.9049
820,30000,-25.6213
889,32500,-25.2558
961,35000,-24.9458
1023,37500,-25.6944
1099,40000,-24.9191
1167,42500,-25.2279
1235,45000,-24.9346
1299,47500,-25.2844
1385,50000,-23.9953
1450,52500,-25.4262
1513,55000,-25.2794
1580,57500,-25.4582
1651,60000,-24.7852
1717,62500,-25.4205
1767,65000,-26.808
1849,67500,-24.2305
1904,70000,-26.1991
1968,72500,-25.0484
2027,75000,-25.55
2099,77500,-24.3938
2188,80000,-23.5275
2272,82500,-23.7464
2363,85000,-23.2527
2449,87500,-23.7116
2534,90000,-23.7876
2608,92500,-24.3088
2679,95000,-24.5035
2747,97500,-24.8993
2814,100000,-24.8582
2871,102500,-25.5053
2938,105000,-24.6866
3010,107500,-24.2181
3076,110000,-25.0205
3143,112500,-24.6791
3208,115000,-24.8054
3277,117500,-24.4703
3346,120000,-24.2123
3401,122500,-26.04
3478,125000,-24.1065
3547,127500,-24.5297
3610,130000,-25.069
3660,132500,-26.113
3719,135000,-25.6458
3772,137500,-25.7726
3839,140000,-24.5104
3907,142500,-24.4382
3988,145000,-23.563
4065,147500,-23.924
4128,150000,-24.5968
4184,152500,-25.35
4247,155000,-24.3913
4305,157500,-25.2672
4362,160000,-25.2693
4420,162500,-25.2086
4485,165000,-24.5469
4535,167500,-26.122
4593,170000,-24.9767
4661,172500,-24.3294
4725,175000,-24.5984
4773,177500,-25.8
4824,180000,-25.8422
4864,182500,-27.2187
4926,185000,-24.7573
4975,187500,-25.952
5012,190000,-27.8176
5056,192500,-26.5477
5106,195000,-25.818
5144,197500,-27.7553
5185,200000,-26.861
5227,202500,-26.8107
5270,205000,-26.0802
5309,207500,-27.391
5364,210000,-25.0682
5400,212500,-28.0736
5437,215000,-27.6784
5473,217500,-27.8764
5504,220000,-28.7758
5539,222500,-28.0114
5588,225000,-25.8041
5625,227500,-27.3257
5654,230000,-29.7431
5685,232500,-28.8984
