episode,timestep,reward
62,2500,-23.3871
119,5000,-19.7596
188,7500,-22.2913
248,10000,-22.9925
311,12500,-23.5262
382,15000,-22.0063
451,17500,-23.0565
508,20000,-23.3939
585,22500,-21.5636
652,25000,-23.6299
716,27500,-21.6859
784,30000,-22.0456
847,32500,-23.0357
907,35000,-20.7808
967,37500,-21.0592
1029,40000,-21.8597
1092,42500,-20.9738
1165,45000,-21.3089
1237,47500,-18.0694
1293,50000,-20.9545
1364,52500,-19.5873
1419,55000,-18.36
1479,57500,-20.8525
1543,60000,-19.3383
1607,62500,-16.5328
1671,65000,-18.8594
1734,67500,-17.9952
1794,70000,-16.4825
1845,72500,-19.0216
1902,75000,-19.3842
1953,77500,-16.298
2019,80000,-17.5879
2096,82500,-16.7617
2159,85000,-18.577
2224,87500,-17.7415
2294,90000,-15.2679
2359,92500,-13.7677
2434,95000,-16.266
2502,97500,-11.7934
2563,100000,-15.2008
2624,102500,-9.8008
2691,105000,-11.9903
2764,107500,-12.2082
2827,110000,-14.2484
2890,112500,-11.2262
2940,115000,-14.372
2998,117500,-14.5888
3079,120000,-13.1358
3140,122500,-14.0648
3212,125000,-12.1243
3285,127500,-12.4116
3365,130000,-11.4769
3428,132500,-6.5333
3495,135000,-14.2866
3577,137500,-5.578
3655,140000,-4.7776
3729,142500,-8.477
3798,145000,-7.7913
3874,147500,-8.3046
3936,150000,-9.3282
3999,152500,-5.6635
4068,155000,-12.5587
4136,157500,-7.9279
4213,160000,-6.0292
4292,162500,-5.3051
4360,165000,-2.2507
4426,167500,-5.6644
4505,170000,-5.9063
4571,172500,-3.3924
4640,175000,-8.0486
4715,177500,-4.9527
4785,180000,-6.0707
4846,182500,-9.0525
4930,185000,-6.0339
4998,187500,-5.0559
5076,190000,-7.4179
5144,192500,-4.8191
5215,195000,-4.0408
5291,197500,-4.9401
5366,200000,-2.78
5430,202500,-1.9898
5502,205000,-3.2042
5572,207500,0.9921
5644,210000,-2.1764
5714,212500,-2.995
5790,215000,-1.6487
5870,217500,-0.7875
5949,220000,-5.1785
6021,222500,0.8069
6097,225000,-0.9368
6172,227500,-3.1927
6247,230000,-1.8473
6321,232500,1.4331
6395,235000,-0.6534
6463,237500,1.1831
6534,240000,-0.8718
6623,242500,-0.4556
6707,245000,-4.706
6783,247500,0.5822
6853,250000,-0.0364
6922,252500,3.1558
7003,255000,3.2611
7083,257500,1.0356
7151,260000,1.0772
7226,262500,2.7213
7316,265000,-4.1361
7395,267500,-1.9038
7470,270000,1.678
7540,272500,0.6236
7611,275000,3.9556
7677,277500,0.8553
7742,280000,-0.0323
7828,282500,-0.6297
7902,285000,3.5405
7977,287500,4.3353
8046,290000,7.7304
8127,292500,1.1321
8198,295000,1.6514
8281,297500,3.3398
8343,300000,4.904
8416,302500,-2.25
8496,305000,5.0175
8572,307500,-1.4145
8655,310000,-3.3096
8733,312500,-0.2449
8813,315000,-1.0275
8898,317500,-1.7853
8971,320000,4.287
9051,322500,1.4069
9124,325000,4.9116
9201,327500,-3.2617
9279,330000,-0.7859
9357,332500,0.3455
9435,335000,2.8321
9521,337500,-0.0279
9598,340000,-0.5831
9677,342500,5.2203
9757,345000,3.8881
9837,347500,0.1463
9915,350000,2.2647
9992,352500,-0.7065
10071,355000,0.3652
10154,357500,4.2843
10234,360000,1.1731
10309,362500,5.1593
10390,365000,2.6833
10476,367500,2.0151
10553,370000,2.6968
10626,372500,4.5096
10699,375000,3.2575
10772,377500,5.9486
10845,380000,6.6705
10925,382500,4.6675
11007,385000,3.4933
11095,387500,-0.296
11180,390000,1.0471
11261,392500,4.1914
11331,395000,2.585
11410,397500,5.0601
11487,400000,3.4708
11569,402500,1.3591
11645,405000,2.5803
11721,407500,1.5066
11791,410000,5.5014
11868,412500,2.4779
11944,415000,3.6355
12024,417500,0.9975
12099,420000,4.0947
12172,422500,4.0082
12251,425000,7.4215
12338,427500,1.4586
12411,430000,3.0418
12497,432500,4.868
12579,435000,1.4409
12660,437500,2.7228
12740,440000,7.7256
12817,442500,7.3545
12894,445000,3.85
12964,447500,5.28
13049,450000,4.6212
13131,452500,4.3256
13204,455000,3.337
13278,457500,7.5365
13364,460000,7.3064
13447,462500,2.4898
13531,465000,6.4286
13609,467500,3.0045
13697,470000,1.9926
13775,472500,5.7628
13856,475000,0.0247
13938,477500,5.8451
14018,480000,5.4056
14098,482500,4.3125
14172,485000,1.152
14250,487500,5.1526
14330,490000,3.0719
14409,492500,2.1778
14484,495000,6.444
14567,497500,4.6211
14650,500000,2.5163
14738,502500,2.1006
14821,505000,4.4964
14909,507500,2.404
14997,510000,5.0761
15080,512500,4.641
15159,515000,7.0133
15239,517500,8.3712
15326,520000,4.7759
15412,522500,2.9267
15489,525000,5.9727
15569,527500,4.9275
15661,530000,2.9543
15742,532500,8.3457
15821,535000,7.9076
15912,537500,5.8852
15990,540000,7.1077
16057,542500,9.6903
16143,545000,6.0831
16220,547500,5.1266
16303,550000,4.3072
16386,552500,1.7199
16462,555000,3.3414
16542,557500,6.7469
16622,560000,7.1119
16695,562500,7.7438
16776,565000,7.0784
16864,567500,2.6648
16938,570000,6.8338
17018,572500,7.955
17094,575000,6.4441
17178,577500,4.7976
17261,580000,6.4343
17339,582500,8.2321
17414,585000,9.9213
17495,587500,8.0204
17575,590000,7.4562
17660,592500,1.3506
17742,595000,6.7207
17831,597500,5.7511
17912,600000,4.5111
17988,602500,4.7224
18067,605000,6.8785
18155,607500,4.8364
18234,610000,8.0943
18316,612500,9.9537
18398,615000,1.939
18479,617500,2.9605
18562,620000,4.9596
18642,622500,7.0481
18719,625000,6.7844
18794,627500,4.6327
18869,630000,7.196
18952,632500,6.6253
19029,635000,6.5435
19104,637500,6.394
19180,640000,7.0118
19267,642500,6.6782
19348,645000,5.5358
19447,647500,1.2545
19522,650000,5.3567
19602,652500,5.285
19679,655000,4.8312
19763,657500,5.9524
19850,660000,2.6805
19943,662500,5.336
20018,665000,5.546
20096,667500,11.1141
20178,670000,6.8604
20256,672500,4.1237
20338,675000,3.7494
20421,677500,3.8488
20505,680000,6.2732
20581,682500,9.5974
20662,685000,0.9963
20737,687500,5.9633
20819,690000,3.3262
20901,692500,5.4549
20995,695000,6.9154
21067,697500,10.2354
21151,700000,7.2911
21225,702500,5.4669
21308,705000,5.8753
21394,707500,8.532
21466,710000,9.8118
21543,712500,2.2481
21627,715000,7.1845
21708,717500,5.8142
21796,720000,7.2403
21879,722500,5.3777
21964,725000,6.2206
22051,727500,5.7339
22126,730000,7.7427
22211,732500,6.1024
22291,735000,6.8138
22374,737500,3.0771
22453,740000,2.7709
22533,742500,5.9475
22615,745000,6.0445
22692,747500,7.7403
22778,750000,4.3587
22855,752500,7.0247
22926,755000,11.9697
23016,757500,1.8722
23106,760000,3.3767
23197,762500,0.6549
23282,765000,6.5553
23370,767500,5.9545
23457,770000,5.5172
23537,772500,8.0013
23618,775000,6.2494
23707,777500,4.9899
23789,780000,5.4055
23871,782500,6.0567
23953,785000,5.0055
24036,787500,5.0018
24121,790000,8.4435
24213,792500,4.5978
24298,795000,2.3047
24374,797500,7.2947
24447,800000,7.0829
24532,802500,7.4788
24611,805000,8.5456
