episode,timestep,reward
52,2500,-24.0596
104,5000,-23.9615
164,7500,-22.5417
230,10000,-21.7167
295,12500,-22.6754
355,15000,-21.4733
416,17500,-23.2311
484,20000,-22.4765
527,22500,-22.9814
589,25000,-22.2984
655,27500,-22.3
725,30000,-21.5286
797,32500,-21.8528
864,35000,-21.8522
923,37500,-22.2441
991,40000,-21.9265
1039,42500,-24.2917
1113,45000,-22.3635
1169,47500,-21.8018
1226,50000,-19.5684
1278,52500,-21.2885
1345,55000,-22.5746
1415,57500,-23.0743
1474,60000,-21.0237
1526,62500,-23.7423
1579,65000,-19.9358
1635,67500,-20.0625
1694,70000,-17.5881
1750,72500,-19.9196
1811,75000,-17.9459
1863,77500,-17.0212
1923,80000,-15.8067
1987,82500,-16.6047
2049,85000,-16.7758
2109,87500,-17.985
2168,90000,-14.5627
2220,92500,-17.5865
2287,95000,-18.2284
2349,97500,-16.4097
2408,100000,-14.9373
2471,102500,-13.7175
2529,105000,-14.669
2593,107500,-15.0094
2655,110000,-13.9145
2714,112500,-15.2729
2784,115000,-14.3843
2859,117500,-12.508
2916,120000,-12.2404
2982,122500,-11.2591
3059,125000,-13.3571
3127,127500,-11.5779
3200,130000,-12.1589
3268,132500,-13.8868
3333,135000,-12.4538
3405,137500,-9.0847
3476,140000,-11.5732
3548,142500,-13.5931
3617,145000,-11.7435
3685,147500,-7.1868
3758,150000,-11.3384
3830,152500,-8.9417
3905,155000,-10.608
3977,157500,-8.4917
4055,160000,-8.8833
4129,162500,-7.9811
4207,165000,-9.0141
4278,167500,-9.0648
4351,170000,-8.426
4417,172500,-7.8061
4503,175000,-9.5547
4571,177500,-8.2706
4654,180000,-8.606
4724,182500,-7.6714
4793,185000,-10.8725
4870,187500,-7.8805
4946,190000,-7.2197
5015,192500,-4.1783
5085,195000,-3.23
5158,197500,-5.8315
5230,200000,-8.0153
5302,202500,-7.6458
5380,205000,-8.7808
5457,207500,-6.6857
5534,210000,-8.1468
5603,212500,-7.2014
5683,215000,-9.0325
5761,217500,-6.6423
5842,220000,-6.5617
5919,222500,-8.7416
5994,225000,-7.184
6067,227500,-6.4836
6149,230000,-8.3366
6229,232500,-9.9187
6298,235000,-7.2217
6368,237500,-8.1329
6444,240000,-6.8013
6515,242500,-6.9085
6585,245000,-8.6686
6659,247500,-10.1068
6733,250000,-6.7932
6813,252500,-7.195
6902,255000,-8.6112
6988,257500,-7.5012
7075,260000,-7.0563
7151,262500,-8.6697
7219,265000,-5.0265
7291,267500,-7.4264
7372,270000,-7.8383
7445,272500,-6.011
7521,275000,-8.3447
7600,277500,-4.4025
7682,280000,-5.9293
7757,282500,-6.7933
7835,285000,-4.9115
7916,287500,-6.6914
7994,290000,-8.0051
8068,292500,-7.6865
8147,295000,-7.7215
8225,297500,-6.4231
8303,300000,-7.6808
8384,302500,-8.8519
8480,305000,-5.9917
8562,307500,-8.4793
8633,310000,-4.8915
8708,312500,-6.2107
8784,315000,-7.6329
8862,317500,-7.0333
8945,320000,-6.1386
9029,322500,-6.2881
9108,325000,-5.0139
9178,327500,-6.3257
9251,330000,-7.3274
9334,332500,-4.9639
9413,335000,-5.9519
9491,337500,-6.8167
9570,340000,-7.1519
9644,342500,-6.1446
9722,345000,-6.0321
9802,347500,-9.0825
9885,350000,-7.0976
9962,352500,-5.9026
10044,355000,-7.7988
10120,357500,-8.2763
10206,360000,-7.7919
10291,362500,-7.1471
10378,365000,-6.4264
10459,367500,-8.2716
10538,370000,-4.5797
10610,372500,-7.3486
10682,375000,-6.8472
10758,377500,-5.7224
10834,380000,-8.2816
10920,382500,-7.4442
10996,385000,-6.1355
11083,387500,-7.1586
11158,390000,-5.0613
11240,392500,-8.4634
11314,395000,-5.1824
11397,397500,-7.4193
11472,400000,-6.0413
11556,402500,-7.9583
11636,405000,-6.0313
11712,407500,-5.6329
11792,410000,-6.94
11875,412500,-8.8783
11941,415000,-4.1939
12015,417500,-4.3392
12096,420000,-5.5926
12177,422500,-5.6654
12256,425000,-3.8291
12335,427500,-7.1342
12418,430000,-6.659
12497,432500,-4.2038
12581,435000,-5.4619
12653,437500,-4.7264
12733,440000,-6.4463
12810,442500,-8.1623
12889,445000,-4.4127
12970,447500,-5.9
13050,450000,-5.9363
13127,452500,-5.2273
13203,455000,-5.3
13281,457500,-6.6487
13365,460000,-5.2917
13438,462500,-5.3644
13516,465000,-5.7359
13606,467500,-5.9767
13691,470000,-6.1753
13769,472500,-3.0962
13849,475000,-6.7562
13929,477500,-4.9338
14006,480000,-4.9974
14092,482500,-4.7733
14172,485000,-7.4187
14253,487500,-2.6765
14329,490000,-4.7711
14408,492500,-5.8278
14487,495000,-2.6848
14569,497500,-3.9817
14642,500000,-5.0123
14721,502500,-3.0899
14800,505000,-5.3734
14879,507500,-4.6367
14960,510000,-5.2148
15046,512500,-6.3953
15125,515000,-4.5291
15208,517500,-7.6446
15288,520000,-5.5738
15363,522500,-5.0093
15439,525000,-4.2895
15525,527500,-4.6116
15600,530000,-4.6893
15674,532500,-5.223
15757,535000,-5.5458
15840,537500,-6.6759
15923,540000,-4.0855
16001,542500,-5.6038
16084,545000,-5.2831
16165,547500,-8.0716
16249,550000,-5.0131
16337,552500,-5.7148
16414,555000,-2.4792
16498,557500,-7.506
16577,560000,-2.4481
16657,562500,-7.2988
16740,565000,-5.9723
16822,567500,-6.1622
16905,570000,-5.1265
16989,572500,-5.2298
17060,575000,-4.7085
17137,577500,-6.0013
17222,580000,-6.6953
17293,582500,-4.9746
17369,585000,-6.9066
17451,587500,-6.0927
17533,590000,-5.9634
17609,592500,-4.2053
17684,595000,-3.592
17757,597500,-4.4548
17837,600000,-5.8975
17919,602500,-5.4061
17999,605000,-4.575
18079,607500,-6.47
18160,610000,-3.0691
18247,612500,-6.0678
18323,615000,-4.7816
18397,617500,-5.3203
18474,620000,-4.8169
18548,622500,-5.2838
18630,625000,-3.65
18719,627500,-6.6809
18796,630000,-3.9961
18887,632500,-7.2736
18963,635000,-3.4342
19044,637500,-5.1506
19128,640000,-4.2702
19211,642500,-6.2313
19287,645000,-3.9882
19370,647500,-6.2651
19453,650000,-4.6831
19533,652500,-5.3125
19620,655000,-4.6793
19695,657500,-5.1853
19784,660000,-6.7551
19862,662500,-5.4731
19943,665000,-4.4383
20015,667500,-2.7514
20092,670000,-5.1597
20167,672500,-4.472
20242,675000,-4.476
20324,677500,-5.1244
20410,680000,-4.4151
20492,682500,-4.6488
20571,685000,-5.1949
20655,687500,-3.519
20742,690000,-6.2552
20827,692500,-4.1506
20909,695000,-7.1305
20989,697500,-3.4388
21075,700000,-7.136
21159,702500,-6.3405
21230,705000,-6.1155
21307,707500,-5.313
21383,710000,-4.3724
21466,712500,-2.7663
21544,715000,-3.4705
21618,717500,-4.7432
21712,720000,-6.2181
21787,722500,-4.7853
21875,725000,-4.6295
21959,727500,-5.881
22034,730000,-5.208
22114,732500,-7.4663
22198,735000,-4.5643
22281,737500,-6.8301
22362,740000,-4.7531
22437,742500,-5.4373
22523,745000,-4.8395
22607,747500,-5.456
22687,750000,-2.2875
22768,752500,-5.0963
22838,755000,-3.3843
22922,757500,-3.65
23006,760000,-7.3631
23085,762500,-4.8709
23164,765000,-3.5633
23244,767500,-4.7413
23327,770000,-3.747
23414,772500,-4.5414
23490,775000,-3.6211
23569,777500,-6.9354
23647,780000,-2.2372
23730,782500,-4.5458
23814,785000,-6.4512
23891,787500,-5.2
23976,790000,-6.9094
24061,792500,-5.6859
24144,795000,-4.7614
24225,797500,-4.6432
24312,800000,-7.0115
24399,802500,-4.1448
24483,805000,-4.9107
24564,807500,-3.9284
24644,810000,-3.9325
24725,812500,-3.3617
24809,815000,-5.8083
24897,817500,-6.8614
24976,820000,-4.1684
25059,822500,-7.3337
25144,825000,-4.06
25227,827500,-3.4759
25307,830000,-5.62
25385,832500,-4.2359
25464,835000,-4.0101
25544,837500,-5.215
25639,840000,-5.8789
25727,842500,-4.9239
25809,845000,-6.8878
25894,847500,-3.3694
25974,850000,-5.4713
26056,852500,-4.0573
26140,855000,-5.794
26222,857500,-4.7829
26307,860000,-3.8588
26383,862500,-5.0724
26458,865000,-2.3987
26548,867500,-4.0211
26630,870000,-3.9573
26702,872500,-5.2417
26784,875000,-3.1524
26867,877500,-5.1325
26950,880000,-4.5482
27035,882500,-3.88
27122,885000,-4.8793
27196,887500,-3.8703
27276,890000,-4.8438
27353,892500,-4.5455
27433,895000,-3.6075
27513,897500,-4.89
27595,900000,-4.5427
27676,902500,-3.8531
27764,905000,-4.3932
27847,907500,-4.9843
27933,910000,-6.293
28008,912500,-3.7627
28085,915000,-3.2143
28169,917500,-4.0655
28250,920000,-4.7494
28332,922500,-5.6524
28415,925000,-3.7301
28485,927500,-2.8871
28569,930000,-3.0798
28649,932500,-5.0175
28726,935000,-3.5766
28810,937500,-2.1071
28884,940000,-2.8838
28958,942500,-5.45
29040,945000,-5.5073
29122,947500,-3.1488
29205,950000,-2.9699
29281,952500,-3.6053
29373,955000,-6.7598
29464,957500,-6.0363
29545,960000,-4.9605
29626,962500,-3.8901
29706,965000,-4.5725
29800,967500,-4.083
29882,970000,-4.3671
29967,972500,-3.6471
30058,975000,-4.5802
30135,977500,-5.9052
30215,980000,-5.8162
30298,982500,-3.6627
30387,985000,-7.3663
30462,987500,-0.8813
30547,990000,-5.9047
30632,992500,-3.4318
30717,995000,-4.1224
30805,997500,-5.4852
30890,1000000,-5.6129
30977,1002500,-4.2529
31054,1005000,-4.4169
