episode,timestep,reward
27,2500,-10.9756
61,5000,-12.7065
89,7500,-10.4137
120,10000,-12.0994
160,12500,-13.7522
190,15000,-11.7812
225,17500,-13.1281
256,20000,-10.7523
282,22500,-9.394
320,25000,-12.9617
341,27500,-6.4802
370,30000,-11.4226
405,32500,-12.9266
428,35000,-9.1963
454,37500,-8.949
482,40000,-10.6952
514,42500,-11.5548
544,45000,-11.0577
577,47500,-11.8595
609,50000,-11.8287
635,52500,-10.2794
662,55000,-10.3633
692,57500,-11.0935
721,60000,-10.6271
753,62500,-12.4697
782,65000,-10.6938
809,67500,-10.7896
834,70000,-9.9298
859,72500,-10.6746
882,75000,-8.3541
916,77500,-12.3074
946,80000,-11.7318
970,82500,-9.3785
1003,85000,-12.3074
1031,87500,-10.3839
1064,90000,-12.672
1093,92500,-10.61
1124,95000,-12.6289
1145,97500,-5.6598
1168,100000,-8.6152
1191,102500,-7.3837
1215,105000,-10.3977
1239,107500,-8.454
1269,110000,-10.235
1307,112500,-13.4763
1334,115000,-10.0831
1360,117500,-10.061
1387,120000,-10.612
1412,122500,-9.4278
1436,125000,-10.1919
1461,127500,-8.8318
1477,130000,-2.4787
1492,132500,2.0363
1513,135000,-7.1793
1533,137500,-7.74
1555,140000,-7.2411
1580,142500,-10.6272
1608,145000,-9.0077
1637,147500,-10.7797
1664,150000,-10.3096
1686,152500,-7.063
1706,155000,-4.4857
1727,157500,-9.0338
1750,160000,-7.6913
1768,162500,-1.8797
1787,165000,-5.0589
1812,167500,-10.0166
1832,170000,-7.8102
1847,172500,-0.6703
1866,175000,-2.2858
1881,177500,-3.726
1903,180000,-6.7352
1917,182500,1.5611
1937,185000,-6.7182
1954,187500,-0.6015
1968,190000,3.5443
1988,192500,-7.7207
2007,195000,-3.1771
2023,197500,-2.2266
2034,200000,9.16
2050,202500,0.8219
2068,205000,-5.4269
2087,207500,-5.1705
2104,210000,-2.9829
2119,212500,-1.899
2140,215000,-5.3252
2161,217500,-6.4021
2184,220000,-8.612
2200,222500,-3.1622
2218,225000,-6.9125
2238,227500,-4.3082
