episode,timestep,reward
64,2500,-17.6914
124,5000,-17.5533
187,7500,-17.5794
250,10000,-17.55
325,12500,-17.982
388,15000,-17.5579
444,17500,-17.3902
501,20000,-17.3737
567,22500,-17.875
624,25000,-17.4281
682,27500,-17.2957
740,30000,-17.4509
787,32500,-17.017
854,35000,-17.5784
909,37500,-16.85
978,40000,-17.5514
1038,42500,-17.1367
1111,45000,-17.7212
1173,47500,-17.4097
1233,50000,-17.44
1291,52500,-17.4897
1353,55000,-17.7371
1403,57500,-16.973
1471,60000,-17.686
1526,62500,-17.1036
1581,65000,-16.8082
1631,67500,-16.924
1703,70000,-17.7042
1765,72500,-17.4452
1834,75000,-17.9304
1897,77500,-17.6032
1956,80000,-17.6754
2017,82500,-17.9066
2071,85000,-17.6259
2124,87500,-17.5679
2184,90000,-17.8883
2240,92500,-17.458
2296,95000,-17.3848
2346,97500,-17.03
2411,100000,-17.7785
2471,102500,-17.7825
2533,105000,-17.4806
2581,107500,-16.7406
2637,110000,-16.9509
2692,112500,-17.0482
2739,115000,-16.0777
2795,117500,-16.658
2855,120000,-16.7258
2900,122500,-15.9567
2950,125000,-16.109
3014,127500,-16.7711
3069,130000,-16.2509
3115,132500,-15.6163
3172,135000,-16.1912
3235,137500,-16.4897
3278,140000,-14.0721
3327,142500,-15.2714
3368,145000,-14.6354
3418,147500,-15.429
3473,150000,-15.3045
3527,152500,-15.1843
3580,155000,-15.3962
3633,157500,-15.1519
3693,160000,-15.8983
3734,162500,-14.8732
3791,165000,-15.8123
3839,167500,-15.0615
3877,170000,-14.4474
3924,172500,-14.3053
3977,175000,-15.2689
4016,177500,-12.8667
4070,180000,-15.3778
4114,182500,-14.117
4153,185000,-12.9449
4205,187500,-14.9087
4258,190000,-15.0443
4305,192500,-14.6809
4343,195000,-12.5737
4378,197500,-11.8343
4429,200000,-14.4353
4476,202500,-14.1574
4517,205000,-12.7683
4562,207500,-13.8
4596,210000,-11.5838
4643,212500,-13.4606
4678,215000,-11.2414
4722,217500,-12.458
4764,220000,-12.3726
4807,222500,-12.8802
4855,225000,-14.2031
4888,227500,-11.1409
4933,230000,-12.9844
4975,232500,-13.2024
5015,235000,-12.275
5057,237500,-12.4536
5089,240000,-10.0609
5119,242500,-8.3883
5149,245000,-9.32
5193,247500,-12.3966
5225,250000,-9.9688
5247,252500,-2.9023
5281,255000,-10.3221
5307,257500,-4.7962
5330,260000,-3.0217
5354,262500,-6.0021
5378,265000,-4.8792
5398,267500,-2.84
5419,270000,-2.1071
5449,272500,-8.4033
5471,275000,-2.4545
5501,277500,-8.8317
5526,280000,-3.778
5546,282500,-1.9575
5567,285000,0.1976
5582,287500,5.4033
5601,290000,3.2816
5617,292500,8.0188
5638,295000,-0.6
5656,297500,4.9778
5675,300000,2.1158
5690,302500,11.88
5707,305000,4.8912
5726,307500,3.4237
5739,310000,9.4692
5759,312500,3.87
5778,315000,3.7579
5800,317500,0.125
5811,320000,21.5636
5826,322500,13.47
5844,325000,6.9944
5859,327500,11.5633
5875,330000,11.3344
5888,332500,17.5808
5904,335000,10.5813
5915,337500,25.3682
5928,340000,14.8269
5944,342500,9.3063
5959,345000,14.13
5972,347500,21.4654
5988,350000,10.6313
5997,352500,37.1722
6006,355000,39.8667
6018,357500,25.2083
6033,360000,13.38
6046,362500,20.5269
6057,365000,23.9
6068,367500,30.6455
6077,370000,36.7889
6088,372500,30.8545
6102,375000,19.0071
6113,377500,29.8136
6123,380000,36.14
6135,382500,24.525
6146,385000,28.0545
6159,387500,21.5269
6170,390000,26.6773
6180,392500,34.92
6192,395000,29.0375
6206,397500,16.9
6216,400000,29.4
6227,402500,32.4591
6240,405000,25.2
6252,407500,24.3042
6263,410000,33.6909
6278,412500,16.5933
6288,415000,32.11
6300,417500,29.5458
6311,420000,29.6818
6326,422500,18.1
6334,425000,48.3563
6346,427500,32.7
6354,430000,52.6313
6364,432500,38.375
6376,435000,30.2667
6386,437500,39.12
6399,440000,26.7615
6411,442500,24.6125
6421,445000,43.465
6434,447500,21.8615
6445,450000,39.1136
6454,452500,47.5722
6466,455000,27.85
6474,457500,54.2563
6486,460000,31.6042
6500,462500,18.3857
6512,465000,32.4042
6520,467500,51.1375
6531,470000,35.4318
6540,472500,54.5889
6560,475000,6.9075
6570,477500,41.215
6579,480000,48.7
6591,482500,25.9917
6602,485000,34.5227
6613,487500,35.1
6626,490000,31.05
6635,492500,42.7278
6644,495000,48.6778
6656,497500,33.0333
6668,500000,30.7792
6677,502500,47.7222
6687,505000,40.22
6697,507500,35.47
6708,510000,38.5364
6718,512500,32.84
6731,515000,28.9385
6740,517500,41.6444
6750,520000,41.515
6763,522500,28.8269
6773,525000,40.795
6786,527500,25.6385
6797,530000,32.6955
6811,532500,18.3786
6822,535000,28.8727
6834,537500,32.2167
6853,540000,10.4132
6867,542500,20.0321
6878,545000,30.8455
6889,547500,32.8773
6899,550000,41.425
6909,552500,41.105
6920,555000,29.45
6930,557500,40.76
6940,560000,39.28
6953,562500,27.3923
6966,565000,23.3769
6978,567500,30.3333
6987,570000,45.0111
6997,572500,32.965
7006,575000,51.7556
7016,577500,33.765
7025,580000,44.1556
7035,582500,40.505
7045,585000,40.695
7054,587500,40.5444
7064,590000,44.645
7075,592500,31.6364
7085,595000,32.685
7098,597500,27.5077
7107,600000,43.3333
7117,602500,39.52
7128,605000,33.5909
7138,607500,36.375
7146,610000,52.8813
7155,612500,53.2333
7164,615000,46.9056
7174,617500,38.445
7183,620000,45.3778
7194,622500,36.2636
7204,625000,40.635
7213,627500,45.9333
7221,630000,53.9688
7230,632500,46.5056
7240,635000,41.43
7249,637500,47.6278
7259,640000,44.42
7267,642500,48.175
7276,645000,48.5056
7287,647500,33.55
7295,650000,53.2313
7306,652500,37.4864
7315,655000,47.15
7326,657500,37.4591
7336,660000,41.54
7344,662500,53.3813
7355,665000,35.8
7364,667500,42.5222
7374,670000,39.49
7383,672500,45.3167
7393,675000,41.09
7403,677500,42.02
7412,680000,47.9278
7421,682500,46.6444
7431,685000,41.675
7442,687500,30.6636
7451,690000,47.3389
7462,692500,38.5136
7472,695000,37.845
7482,697500,42.285
7490,700000,54.95
7499,702500,47.8278
7508,705000,55.1778
7518,707500,39.4
7529,710000,31.0182
7538,712500,47.2111
7548,715000,48.555
7559,717500,36.0136
7567,720000,50.6438
7578,722500,37.3909
7589,725000,31.6818
7603,727500,25.775
7613,730000,31.675
7624,732500,34.0227
7634,735000,45.28
7643,737500,45.9444
7653,740000,35.24
7661,742500,54.8
7672,745000,41.6
7682,747500,35.29
7693,750000,37.7909
7702,752500,51.8611
7710,755000,55.6438
7718,757500,55.1563
7727,760000,55.8778
7735,762500,56.25
7744,765000,45.7278
7754,767500,44.71
7762,770000,53.1875
7772,772500,43.77
7781,775000,48.25
7792,777500,38.4591
7805,780000,26.4
7815,782500,34.6
7824,785000,48.4444
7835,787500,38.7182
7843,790000,50.1938
7854,792500,32.1773
7865,795000,36.8636
7876,797500,39.4045
7886,800000,34.795
7895,802500,49.7333
7905,805000,45.39
7915,807500,41.77
7927,810000,27.8542
7937,812500,41.425
7946,815000,44.5222
7956,817500,43.025
7964,820000,55.2125
7973,822500,54.7
7985,825000,29.4833
7994,827500,40.9833
8004,830000,47.86
8013,832500,47.4222
8022,835000,41.9667
8034,837500,33.325
8049,840000,20.2167
8058,842500,47.6278
8067,845000,48.6667
8076,847500,48.1667
8085,850000,49.9333
8096,852500,31.8227
8106,855000,43.13
8116,857500,42.73
8126,860000,39.4
8137,862500,35.7864
8147,865000,42.215
8156,867500,47.9889
8164,870000,54.45
8172,872500,54.2688
8181,875000,54.9111
8190,877500,48.2667
8200,880000,37.45
8212,882500,32.8875
8224,885000,30.2708
8234,887500,41.1
8242,890000,55.4125
8252,892500,43.43
8261,895000,48.5444
8270,897500,47.95
8278,900000,55.375
8288,902500,49.63
8297,905000,49.4778
8307,907500,39.485
8315,910000,55.525
8325,912500,42.915
8335,915000,44.555
8344,917500,42.3833
8355,920000,38.7318
8364,922500,48.7611
8372,925000,54.8688
8380,927500,54.9375
8390,930000,48.255
8398,932500,55.7563
8406,935000,55.1
8416,937500,43.59
8424,940000,54.3438
8434,942500,43.385
8442,945000,54.8063
8451,947500,54.5667
8460,950000,49.1
8468,952500,55.1063
8478,955000,42.005
8487,957500,49.2833
8497,960000,42.995
8506,962500,47.4389
8516,965000,36.54
8525,967500,48.4056
8534,970000,47.2278
8543,972500,46.8722
8551,975000,49.975
8560,977500,49.5
8569,980000,54.0667
8580,982500,30.9727
8592,985000,27.4208
8604,987500,29.5958
8615,990000,36.7182
8626,992500,38.0455
8636,995000,36.835
8645,997500,47.95
8656,1000000,37.6045
8665,1002500,48.35
8675,1005000,44.12
8685,1007500,35.875
8697,1010000,34.8958
8707,1012500,34.91
8719,1015000,35.0
8729,1017500,35.495
8739,1020000,39.67
8748,1022500,55.55
8758,1025000,31.18
8768,1027500,42.36
8778,1030000,48.04
8787,1032500,42.3556
8796,1035000,54.9056
8805,1037500,41.85
8815,1040000,43.95
8824,1042500,46.4111
8833,1045000,42.6333
8842,1047500,55.1167
8853,1050000,36.3909
8861,1052500,55.1125
8873,1055000,33.2792
8882,1057500,47.0167
8892,1060000,34.115
8901,1062500,47.0444
8911,1065000,48.015
8920,1067500,43.1556
8929,1070000,47.8722
8939,1072500,43.2
8952,1075000,25.2538
8963,1077500,31.6773
8973,1080000,41.395
8982,1082500,46.5944
8991,1085000,43.4611
9001,1087500,42.895
9011,1090000,40.105
9021,1092500,43.545
9030,1095000,46.5722
9038,1097500,54.8688
9047,1100000,55.1556
